Título,Nome da Rua,Número,Bairro,Cidade,Preço,Área,Quartos,Banheiros,Garagens
More,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 9.300.000,237,5  Quartos,5  Banheiros,4  Garagens
Pousada,Rua Figueira  Praia das Taquaras,,,Balneário Camboriú,R$ 11.700.000,,,,
Apartamento,Rua Caboclinho,,74  Ariribá,Balneário Camboriú,R$ 689.800,,,,
Apartamento,Rua 800,,144  Centro,Balneário Camboriú,R$ 5.700.000 Cond.: R$ 1.000,137,3  Quartos,4  Banheiros,5  Garagens
Ap mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.500.000 Cond.: R$ 500,92,2  Quartos,3  Banheiros,2  Garagens
Barra norte,Endereço não disponível  Barra Norte,,,Balneário Camboriú,R$ 1.835.000,170,3  Quartos,4  Banheiros,2  Garagens
Villa serena,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.990.000,325,4  Quartos,4  Banheiros,3  Garagens
Apartamento no,Rua 3140,,202  Centro,Balneário Camboriú,R$ 2.500.000,149,4  Quartos,3  Banheiros,3  Garagens
Alto padrão,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 9.898.000,194,4  Quartos,5  Banheiros,4  Garagens
Ap 4,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.800.000,167,4  Quartos,5  Banheiros,3  Garagens
Quadra mar,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 950.000,90,3  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua 3750,,39  Centro,Balneário Camboriú,R$ 990.000,85,2  Quartos,2  Banheiros,1  Garagem
Ponto comercial,Avenida Atlântica,,1850  Centro,Balneário Camboriú,R$ 690.000 Cond.: R$ 1.100,180,1  Sala,1  Banheiro,1  Garagem
Apartamento mobiliado,Rua Alvin Bauer,,255  Centro,Balneário Camboriú,R$ 2.200.000,136,3  Quartos,4  Banheiros,2  Garagens
Sobrado,Rua Jamaica,,797  Nações,Balneário Camboriú,R$ 1.300.000,180,3  Quartos,2  Banheiros,2  Garagens
Apartamento frente,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 900.000 Cond.: R$ 0,,,,
Prédio,Beira Rio,,1333  Centro,Balneário Camboriú,R$ Confira,,,,
Apartamento 4,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 3.000.000,149,4  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua Alvin Bauer,,159  Centro,Balneário Camboriú,R$ 4.242.000,143,4  Quartos,1  Banheiro,3  Garagens
Apartamento,Rua Islândia,,71  Nações,Balneário Camboriú,R$ 550.000 Cond.: R$ 400,65,2  Quartos,2  Banheiros,1  Garagem
Cobertura,Rua 3700,,415  Barra Sul,Balneário Camboriú,R$ 7.750.000 Cond.: R$ 1.200,240,3  Quartos,3  Banheiros,4  Garagens
Apartamento,Avenida Atlântica,,1593  Centro,Balneário Camboriú,R$ 5.000.000 Cond.: R$ 2.000,140,4  Quartos,2  Banheiros,1  Garagem
Alto padrão,Rua 620  Centro,,,Balneário Camboriú,R$ 1.990.000,133,4  Quartos,4  Banheiros,3  Garagens
Excelente oportunidade,Rua A  Nova Esperança,,,Balneário Camboriú,R$ 445.000,60,2  Quartos,2  Banheiros,1  Garagem
Sobrado,Rua José Francisco Corrêa,,327  Nova Esperança,Balneário Camboriú,R$ 850.000 Cond.: R$ 150,120,3  Quartos,1  Banheiro,2  Garagens
Apartamento quadra,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.500.000,142,3  Quartos,2  Banheiros,2  Garagens
Icon residence,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.390.000,120,3  Quartos,2  Banheiros,2  Garagens
Casa em,Ivo Jose Rebello,,610  Santa Regina,Balneário Camboriú,R$ 3.000.000 Cond.: R$ 1.400,500,4  Quartos,4  Banheiros,2  Garagens
Apartamento torre,Avenida Atlântica,,400  Centro,Balneário Camboriú,R$ 6.500.000 Cond.: R$ 1.900,255,4  Quartos,5  Banheiros,3  Garagens
Casa 5,Rua 2000  Centro,,,Balneário Camboriú,R$ 2.300.000,242,3  Quartos,1  Banheiro,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.990.000 Cond.: R$ 800,,,,
| lançamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.200.000,263,3  Quartos,4  Banheiros,2  Garagens
Apartamento 3,Rua 3100,,551  Centro,Balneário Camboriú,R$ 1.690.000 Cond.: R$ 580,109,3  Quartos,2  Banheiros,2  Garagens
Apto frente,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.200.000 Cond.: R$ 1.600,270,4  Quartos,5  Banheiros,2  Garagens
Casa,Agronomica,,1091  Jardim Iate Clube,Balneário Camboriú,R$ 1.300.000,170,2  Quartos,1  Banheiro,2  Garagens
Sauer residence,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.750.000,126,3  Quartos,4  Banheiros,3  Garagens
Lançamento,Rua 1910,,91  Centro,Balneário Camboriú,R$ 5.112.000,179,4  Quartos,5  Banheiros,3  Garagens
Apartamento frente,Avenida Atlântica,,3066  Centro,Balneário Camboriú,R$ 2.400.000 Cond.: R$ 1.020,127,3  Quartos,3  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.200.000,220,3  Quartos,4  Banheiros,2  Garagens
Apartamento quadra,Rua 3604,,--  Centro,Balneário Camboriú,R$ 1.060.000 Cond.: R$ 700,90,2  Quartos,3  Banheiros,1  Garagem
Casa -,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 2.100.000,270,5  Quartos,6  Banheiros,2  Garagens
Centro |,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.790.000,224,3  Quartos,2  Banheiros,2  Garagens
Terreno,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 1.200.000,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.300.000 Cond.: R$ 475,116,4  Quartos,3  Banheiros,1  Garagem
Apartamento 4,Rua 1800,,97  Centro,Balneário Camboriú,R$ 2.200.000 Cond.: R$ 1.230,170,2  Quartos,4  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.900.000,316,4  Quartos,4  Banheiros,4  Garagens
Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 14.490.000,230,4  Quartos,4  Banheiros,4  Garagens
Apartamento em,Rua Egidio Alfredo Crispim  Pioneiros,,,Balneário Camboriú,R$ 2.200.000,135,3  Quartos,3  Banheiros,3  Garagens
Investidor! loft,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 680.000,35,1  Quarto,1  Banheiro,1  Garagem
Sala comercial,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.500.000,,,,
Sala comercial,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.995.000,,,,
Apartamento 2,Rua 901,,300  Centro,Balneário Camboriú,R$ 1.454.500,82,2  Quartos,3  Banheiros,1  Garagem
Apartamento 3,Rua 2550  Centro,,,Balneário Camboriú,R$ 799.000,82,3  Quartos,2  Banheiros,1  Garagem
Apartamento a,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 2.150.000 Cond.: R$ 0,100,3  Quartos,2  Banheiros,2  Garagens
Smart living,Rua Dom Diniz  Vila Real,,,Balneário Camboriú,R$ 865.500,147,2  Quartos,1  Banheiro,2  Garagens
Lindo sobrado,Rua Dom Francisco,,189  Vila Real,Balneário Camboriú,R$ 1.300.000,180,3  Quartos,5  Banheiros,2  Garagens
Apartamento pioneiros,Rua Miguel Matte  Pioneiros,,,Balneário Camboriú,R$ 2.400.000,,,,
Apartamento para,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 10.880.000,184,4  Quartos,1  Banheiro,3  Garagens
Apartamento,Rua 2000,,--  Centro,Balneário Camboriú,R$ 585.000,55,1  Quarto,1  Banheiro,1  Garagem
Garden village,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 1.100.000,79,2  Quartos,2  Banheiros,1  Garagem
Edifício vintage,Rua 3100,,628  Centro,Balneário Camboriú,R$ 1.850.000,134,3  Quartos,3  Banheiros,3  Garagens
Oportunidade apto,Avenida Brasil,,3400  Centro,Balneário Camboriú,R$ 4.800.000,163,4  Quartos,5  Banheiros,3  Garagens
Apartamento,3500,,150  Barra Sul,Balneário Camboriú,R$ 2.800.000 Cond.: R$ 800,130,4  Quartos,3  Banheiros,2  Garagens
Apartamento em,Rua 1201,,432  Centro,Balneário Camboriú,R$ 3.524.000,175,4  Quartos,1  Banheiro,3  Garagens
Pronto para,Rua Alvin Bauer,,100  Centro,Balneário Camboriú,R$ 8.350.000,182,4  Quartos,5  Banheiros,4  Garagens
Terreno na,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,R$ 2.200.000,,,,
Apartamento novo,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 2.950.000,253,4  Quartos,5  Banheiros,2  Garagens
Alto padrão,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.100.000,186,3  Quartos,4  Banheiros,2  Garagens
1 quarto,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 590.000,42,1  Quarto,1  Banheiro,1  Garagem
Apartamento,Rua 906  Centro,,,Balneário Camboriú,R$ 1.450.000 Cond.: R$ 740,98,2  Quartos,3  Banheiros,2  Garagens
Apartamento garden,Rua 57  Centro,,,Balneário Camboriú,R$ 1.250.000 Cond.: R$ 780,65,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Rua Alvin Bauer,,160  Centro,Balneário Camboriú,R$ 1.400.000 Cond.: R$ 650,100,3  Quartos,4  Banheiros,2  Garagens
Casa,Rua 2300,,330  Centro,Balneário Camboriú,R$ 3.710.000,280,5  Quartos,1  Banheiro,4  Garagens
Apartamento decorado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ Confira,82,1  Quarto,1  Banheiro,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.900.000,197,3  Quartos,3  Banheiros,2  Garagens
Novo |,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.790.000,254,3  Quartos,4  Banheiros,3  Garagens
Apartamento mobiliado,Rua Alvin Bauer  Centro,,,Balneário Camboriú,R$ 2.600.000,,,,
Apartamento,Rua Gralha Azul  Ariribá,,,Balneário Camboriú,R$ 1.500.000,105,3  Quartos,3  Banheiros,2  Garagens
Apartamento,Rua Julieta Lins  Pioneiros,,,Balneário Camboriú,R$ 8.400.000,182,3  Quartos,5  Banheiros,4  Garagens
Apartamento,Avenida Brasil,,1458  Centro,Balneário Camboriú,R$ 6.818.000,311,4  Quartos,1  Banheiro,4  Garagens
Frente mar,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 8.800.000 Cond.: R$ 1.400,237,4  Quartos,5  Banheiros,4  Garagens
Oferta diferenciado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 690.000,130,2  Quartos,1  Banheiro,1  Garagem
Prédio,Avenida 3ª Avenida,,90  Centro,Balneário Camboriú,R$ Confira,,,,
Moderna cobertura,Rua 3900  Centro,,,Balneário Camboriú,R$ 8.900.000,310,4  Quartos,5  Banheiros,8  Garagens
Terreno 270m²,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 900.000,,,,
Negócio,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 180.000,,,,
Residencial l'essence,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.330.000,113,3  Quartos,4  Banheiros,2  Garagens
Apartamento 1,Rua México,,151  Nações,Balneário Camboriú,R$ 519.000 Cond.: R$ 350,57,1  Quarto,1  Banheiro,1  Garagem
Le parc,Rua 1011,,11  Centro,Balneário Camboriú,R$ 3.600.000,161,3  Quartos,5  Banheiros,3  Garagens
Icon residece,Avenida do Estado Dalmo Vieira,,4295  Centro,Balneário Camboriú,R$ 1.550.000,179,3  Quartos,2  Banheiros,2  Garagens
Excelente sala,Rua 2000,,1415  Centro,Balneário Camboriú,R$ 729.800,,,,
Apartamento 3,Rua Paraguai,,779  Nações,Balneário Camboriú,R$ 650.000,77,3  Quartos,3  Banheiros,1  Garagem
Quadra mar,Rua 1101  Centro,,,Balneário Camboriú,R$ 780.000 Cond.: R$ 550,75,2  Quartos,1  Banheiro,1  Garagem
Apartamento mobiliado,Rua Egidio Alfredo Crispim,,55  Pioneiros,Balneário Camboriú,R$ 1.690.000,,,,
Apartamento em,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 3.800.000,134,3  Quartos,3  Banheiros,2  Garagens
Terreno,Endereço não disponível  Jardim Iate Clube,,,Balneário Camboriú,R$ 800.000,,,,
Projeto exclusivo,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,R$ Confira,365,3  Quartos,4  Banheiros,4  Garagens
Apartamento no,Altíssimo Padrão! Condições Facilitadas!  Pioneiros,,,Balneário Camboriú,R$ 5.460.000,151,4  Quartos,5  Banheiros,3  Garagens
Ibiza towers,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 9.878.730 Cond.: R$ 1.200,238,4  Quartos,5  Banheiros,4  Garagens
Apartamento balneário,Rua 2400,,441  Centro,Balneário Camboriú,R$ 1.784.000 Cond.: R$ 0,150,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua Julieta Lins,,271  Barra Norte,Balneário Camboriú,R$ 7.980.000 Cond.: R$ 2.000,169,3  Quartos,3  Banheiros,3  Garagens
Apartamento frente,Avenida Atlântica,,500  Centro,Balneário Camboriú,R$ 13.500.000 Cond.: R$ 1.800,251,4  Quartos,5  Banheiros,4  Garagens
Terreno,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 9.690.000,,,,
Yachthouse residence,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 6.500.000,490,4  Quartos,6  Banheiros,3  Garagens
Apartamento,Rua 1061  Centro,,,Balneário Camboriú,R$ 1.370.000 Cond.: R$ 32,121,2  Quartos,2  Banheiros,1  Garagem
Apartamento 4,Avenida Atlântica,,770  Centro,Balneário Camboriú,R$ 11.900.000 Cond.: R$ 2.600,315,4  Quartos,5  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 870.000 Cond.: R$ 520,112,3  Quartos,2  Banheiros,1  Garagem
Diferenciado 2,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 750.000,126,2  Quartos,2  Banheiros,1  Garagem
Apartamento para,Av. Do Estado Dalmo Vieira 4295  Centro,,,Balneário Camboriú,R$ 1.000.000 Cond.: R$ 340,68,2  Quartos,1  Banheiro,1  Garagem
Grand place,Rua 57,,16  Centro,Balneário Camboriú,R$ 6.200.000,321,5  Quartos,6  Banheiros,3  Garagens
Apto 3,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.800.000,128,3  Quartos,3  Banheiros,2  Garagens
Barbada 4,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.740.000,137,4  Quartos,5  Banheiros,2  Garagens
Apartamento em,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.360.000,128,2  Quartos,2  Banheiros,1  Garagem
Quadra mar,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 2.300.000,140,3  Quartos,3  Banheiros,2  Garagens
Pré-lançamento apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.130.000,284,4  Quartos,4  Banheiros,3  Garagens
Ap 2,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 600.000,65,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua 3130,,125  Centro,Balneário Camboriú,R$ 2.935.000,238,3  Quartos,1  Banheiro,3  Garagens
Cobertura,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 24.900.000,475,6  Quartos,8  Banheiros,6  Garagens
Apartamento encantador,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.900.000,130,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua 2000,,1380  Centro,Balneário Camboriú,R$ 734.900,61,2  Quartos,1  Banheiro,1  Garagem
Sala comercial,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 1.099.000,,,,
Casa,Alameda das Acácias,,210  Praia das Taquaras,Balneário Camboriú,R$ 2.950.000,350,3  Quartos,5  Banheiros,2  Garagens
Apartamento a,Avenida Atlântica,,5900  Centro,Balneário Camboriú,R$ 6.000.000 Cond.: R$ 2.200,189,4  Quartos,5  Banheiros,3  Garagens
Apartamento novo,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 6.270.000,223,4  Quartos,5  Banheiros,3  Garagens
Loja comercial,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 980.000 Cond.: R$ 330,,,,
Apartamento,Rua 3420  Centro,,,Balneário Camboriú,R$ 3.400.000 Cond.: R$ 1.350,138,3  Quartos,4  Banheiros,3  Garagens
Argos residence,Rua 3300,,450  Centro,Balneário Camboriú,R$ 3.500.000,147,4  Quartos,4  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 1.300.000 Cond.: R$ 560,145,3  Quartos,2  Banheiros,1  Garagem
Apartamento para,Rua 3700,,425  Centro,Balneário Camboriú,R$ 4.500.000,186,3  Quartos,4  Banheiros,3  Garagens
Casa 3,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 2.200.000,325,5  Quartos,6  Banheiros,2  Garagens
Apartamento,Rua Érico Veríssimo,,655  Praia dos Amores,Balneário Camboriú,R$ 1.370.000,,,,
Apartamento,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 1.230.000 Cond.: R$ 480,99,2  Quartos,3  Banheiros,2  Garagens
Apartamento,Rua 1400,,20  Centro,Balneário Camboriú,R$ 5.800.000 Cond.: R$ 2.000,190,4  Quartos,4  Banheiros,2  Garagens
Apartamento,Avenida Atlântica,,1330  Centro,Balneário Camboriú,R$ 15.269.000 Cond.: R$ 3.655,287,4  Quartos,1  Banheiro,5  Garagens
Apartamento,Avenida Brasil,,1433  Centro,Balneário Camboriú,R$ 6.325.000,485,4  Quartos,6  Banheiros,3  Garagens
Apartamento quadra,Rua 701,,20  Centro,Balneário Camboriú,R$ 1.150.000 Cond.: R$ 661,74,2  Quartos,2  Banheiros,1  Garagem
Edifício barão,Rua Noruega,,55  Nações,Balneário Camboriú,R$ 600.000 Cond.: R$ 206,51,1  Quarto,1  Banheiro,1  Garagem
Skyline apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 5.100.000,150,4  Quartos,1  Banheiro,4  Garagens
Casa,Rua Libéria,,235  Nações,Balneário Camboriú,R$ 1.600.000,229,2  Quartos,2  Banheiros,3  Garagens
Apartamento,Avenida Atlântica,,684  Centro,Balneário Camboriú,R$ 12.890.000,288,4  Quartos,5  Banheiros,4  Garagens
Cobertura c/,Endereço não disponível  Barra Norte,,,Balneário Camboriú,R$ 2.967.000,269,3  Quartos,5  Banheiros,3  Garagens
Apartamento,Avenida Brasil,,3400  Centro,Balneário Camboriú,R$ 9.895.000,343,6  Quartos,8  Banheiros,3  Garagens
Emmanuel residence,Rua 904,,286  Centro,Balneário Camboriú,R$ 1.500.000,131,3  Quartos,3  Banheiros,1  Garagem
01 suíte,Rua Cruz E Souza,,198  Praia dos Amores,Balneário Camboriú,R$ 2.200.000,175,3  Quartos,2  Banheiros,3  Garagens
Sala comercial,Rua Arthur Max Dôose,,183  Pioneiros,Balneário Camboriú,R$ 1.897.500 Cond.: R$ 1.040,,,,
Casa,Rua Guará,,80  Ariribá,Balneário Camboriú,R$ 1.500.000,258,5  Quartos,6  Banheiros,4  Garagens
Apartamento 3,Rua 101,,30  Centro,Balneário Camboriú,R$ 2.990.000 Cond.: R$ 1.250,122,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.000.000,278,4  Quartos,4  Banheiros,4  Garagens
"3 dormitórios,",Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.350.000,127,3  Quartos,2  Banheiros,2  Garagens
Ap 4,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.433.144,170,4  Quartos,6  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.025.000,120,2  Quartos,1  Banheiro,1  Garagem
Apartamento para,Rua 600,,630  Centro,Balneário Camboriú,R$ 1.060.000 Cond.: R$ 350,126,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Rua 2412,,82  Centro,Balneário Camboriú,R$ 5.500.000 Cond.: R$ 1.400,146,4  Quartos,3  Banheiros,3  Garagens
Apartamento para,Rua 904,,286  Centro,Balneário Camboriú,R$ 1.500.000,131,3  Quartos,3  Banheiros,1  Garagem
Apartamento para,Avenida Atlântica,,1330  Centro,Balneário Camboriú,R$ 15.269.000,287,4  Quartos,1  Banheiro,5  Garagens
Apartamento quadra,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 3.400.000,517,5  Quartos,6  Banheiros,3  Garagens
Apartamento para,Rua 3310,,77  Centro,Balneário Camboriú,R$ 1.980.000,138,4  Quartos,5  Banheiros,3  Garagens
Apartamento alto,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.280.000,175,3  Quartos,4  Banheiros,4  Garagens
Belíssimo empreendimento,Avenida Santa Catarina,,2210  Estados,Balneário Camboriú,R$ 781.000,75,2  Quartos,2  Banheiros,1  Garagem
Sun paradise,Rua 904,,305  Centro,Balneário Camboriú,R$ 962.000,,,,
Apartamento,Rua 101,,30  Centro,Balneário Camboriú,R$ 2.850.000 Cond.: R$ 1.250,122,3  Quartos,5  Banheiros,3  Garagens
"Apartamento diferenciado,",Apartamento Diferenciado No Centro!  Centro,,,Balneário Camboriú,R$ 3.205.000,182,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 57,,16  Centro,Balneário Camboriú,R$ 5.134.000,170,4  Quartos,5  Banheiros,4  Garagens
Apartamento 3,Avenida Osmar de Souza Nunes,,88  Pioneiros,Balneário Camboriú,R$ 2.100.000,130,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua 3250  Centro,,,Balneário Camboriú,R$ 3.875.369,194,4  Quartos,2  Banheiros,2  Garagens
Apartamento no,Rua 3200  Centro,,,Balneário Camboriú,R$ 1.750.000 Cond.: R$ 600,112,3  Quartos,3  Banheiros,2  Garagens
Apartamento,Rua Edgar Linhares  Barra Sul,,,Balneário Camboriú,R$ 9.700.000,237,4  Quartos,5  Banheiros,4  Garagens
Cobertura á,Rua 2870,,--  Centro,Balneário Camboriú,R$ 4.450.000 Cond.: R$ 1.855,340,4  Quartos,3  Banheiros,3  Garagens
Apartamento,Rua 3680,,71  Centro,Balneário Camboriú,R$ 850.000 Cond.: R$ 380,88,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua 1111  Centro,,,Balneário Camboriú,R$ 2.950.000,142,3  Quartos,4  Banheiros,3  Garagens
Maison selenitá,Rua 1001  Centro,,,Balneário Camboriú,R$ 2.800.000,--,4  Quartos,4  Banheiros,3  Garagens
Prédio,Rua 700,,352  Centro,Balneário Camboriú,R$ Confira,,,,
Ap 4,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 2.850.000,142,4  Quartos,4  Banheiros,2  Garagens
Charmant residence,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.722.000,279,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.100.000,141,3  Quartos,2  Banheiros,1  Garagem
Apartamento para,R. Bibiano Santos,,67-63  Pioneiros,Balneário Camboriú,R$ 950.000,110,3  Quartos,2  Banheiros,1  Garagem
Terreno,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.200.000,,,,
Apartamento no,Avenida Atlântica,,4950  Barra Sul,Balneário Camboriú,R$ 12.000.000,194,4  Quartos,4  Banheiros,4  Garagens
Prédio,Avenida Brasil,,1458  Centro,Balneário Camboriú,R$ Confira,,,,
Excelente apartamento,Rua 1201,,493  Centro,Balneário Camboriú,R$ 3.305.010 Cond.: R$ 2.000,175,3  Quartos,4  Banheiros,3  Garagens
Apartamento a,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.690.000 Cond.: R$ 564,156,3  Quartos,3  Banheiros,2  Garagens
Apartamento no,Rua 1200,,181  Centro,Balneário Camboriú,R$ 4.500.000,194,3  Quartos,4  Banheiros,2  Garagens
Frente mar,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 6.800.000,212,3  Quartos,4  Banheiros,2  Garagens
Cosmopolitan residence,Rua 1131,,200  Centro,Balneário Camboriú,R$ 2.100.000,,,,
Apartamento 4,Rua 3150,,3312  Centro,Balneário Camboriú,R$ 6.000.000 Cond.: R$ 2.700,504,4  Salas,5  Banheiros,3  Garagens
Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.090.000 Cond.: R$ 973,209,3  Quartos,4  Banheiros,2  Garagens
Edifício vintage,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.850.000 Cond.: R$ 700,135,3  Quartos,3  Banheiros,3  Garagens
Ap 4,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.886.117,,,,
Apto frente,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,R$ 4.300.000 Cond.: R$ 1.500,--,3  Quartos,3  Banheiros,1  Garagem
Apartamento,Avenida Atlântica,,238  Centro,Balneário Camboriú,R$ 11.760.000,201,6  Quartos,8  Banheiros,4  Garagens
| frente,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 10.700.000,461,4  Quartos,5  Banheiros,4  Garagens
Casa 4,Rua 2500  Centro,,,Balneário Camboriú,R$ 1.750.000,157,3  Quartos,2  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 16.500.000,,,,
Apartamento,Avenida Atlântica,,5330  Centro,Balneário Camboriú,R$ 3.800.000 Cond.: R$ 1.200,110,3  Quartos,2  Banheiros,2  Garagens
Prédio,Rua 3250,,189  Centro,Balneário Camboriú,R$ Confira,,,,
Ap 3,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.000.000,125,3  Quartos,3  Banheiros,1  Garagem
Frente mar,Endereço não disponível  Frente do Mar,,,Balneário Camboriú,R$ 9.950.000 Cond.: R$ 2.600,236,4  Quartos,5  Banheiros,4  Garagens
Apartamento 3,Rua 1922,,131  Centro,Balneário Camboriú,R$ 3.328.000,210,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 700,,352  Centro,Balneário Camboriú,R$ 2.190.000,159,4  Quartos,1  Banheiro,4  Garagens
Apartamento,Rua 3710,,61  Centro,Balneário Camboriú,R$ 3.273.874,160,4  Quartos,5  Banheiros,4  Garagens
Sala comercial,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.600.000,,,,
Apto frente,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.000.000,249,3  Quartos,2  Banheiros,1  Garagem
Apartamento no,Avenida Atlântica  Barra Sul,,,Balneário Camboriú,R$ 8.800.000 Cond.: R$ 1.800,184,3  Quartos,4  Banheiros,3  Garagens
Sala comercial,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 850.000,,,,
Cobertura,Rua 2870,,168  Centro,Balneário Camboriú,R$ 4.450.000 Cond.: R$ 1.855,225,4  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua Julieta Lins  Pioneiros,,,Balneário Camboriú,R$ 5.460.000,151,4  Quartos,5  Banheiros,3  Garagens
Apartamento a,Avenida Brasil,,3600  Centro,Balneário Camboriú,R$ 1.060.000 Cond.: R$ 620,82,2  Quartos,2  Banheiros,1  Garagem
